8.9.28 com.tencent.mobileqq
12.0.5.8 com.tencent.qqmusic
11.4.4 com.jingdong.app.mall
10.1.18 com.Qunar
10.71.13 com.dianping.v1
7.72.1 com.xingin.xhs
8.0.32 com.tencent.mm
11.0.11.29263 com.smile.gifmaker
6.44.0 com.xunmeng.pinduoduo
10.3.36.7200 com.eg.android.AlipayGphone
9.2.42 com.youdao.dict
10.20.0 com.taobao.taobao
14.1.0 com.qiyi.video
5.6.4.32 com.dragon.read
17.1.0 com.baidu.BaiduMap
8.9.11 com.netease.cloudmusic
93.1 com.netease.newsreader.activity
12.6.405 com.sankuai.meituan
9.7.6.0 com.mt.mtxx.mtxx
11.3.30 com.meitu.meiyancamera
8.7.71.27028 com.tencent.qqlive
1.244.0.1 com.king.candycrushsaga
3.4.0_12498014_12591909 com.miHoYo.GenshinImpact
1.23.022.04.90 com.google.android.apps.docs.editors.docs
1.57.3 com.mxtech.videoplayer.ad
1.97.1 com.dts.freefireth
12.18.0.33 com.snapchat.android
267.0.0.18.93 com.instagram.android
2.23.1.76 com.whatsapp
3.6.3 com.kiloo.subwaysurf
26.2.0.100 com.amazon.mShop.android.shopping
2023.01.16-release com.soundcloud.android
291.7 com.strava
22.12.1.25269 com.adobe.reader
23.1.0 com.life360.android.safetymapd
3.0.338.11247 com.amazon.avod.thirdpartyclient
4.1.778 com.linkedin.android
4.2302.1 com.microsoft.office.outlook
4.58.0 com.foxnews.android
5.71.0.502617782 com.google.android.apps.magazines
7.7.0 com.yahoo.mobile.client.android.mail
9.1.1 com.flightradar24free
9.73.0-release.0 com.twitter.android
8.93.0.404 com.skype.raider
8.8.4.518 com.spotify.music
18.03.33 com.google.android.youtube
5.6.0.8 com.MobileTicket
27.9.3 com.zhiliaoapp.musically
9.2.900 com.meitu.meipaimv
8.88.0.588 com.tencent.weishi
96.0.499579918 com.google.android.dialer
5.34.51 com.google.android.apps.youtube.music
13.1.1 com.sina.weibo
11.4.6 com.kugou.android
9.0800.02 com.moji.mjweather
9.3.3 org.telegram.messenger
messages.android_20221208_01_RC04.phone_dynamic com.google.android.apps.messaging
399.0.0.24.93 com.facebook.katana
11.0.11.5015 com.kuaishou.nebula
11.64.0701 com.google.android.apps.maps
4.0.52.502920930 com.google.android.contacts
109.0.5414.118 com.android.chrome
